"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\User\dev\Meeting-App\HaMeetz\.eslintrc.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\app-build-manifest.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\build-manifest.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\react-loadable-manifest.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app-paths-manifest.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-in\[[...sigin-in]]\page.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 66, 63, 238
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-in\[[...sigin-in]]\page_client-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-up\[[...sign-up]]\page.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 66, 63, 238
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-up\[[...sign-up]]\page_client-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page.js", "JavaScript", 338, 0, 0, 0, 0, 0, 0, 0, 0, 194, 202, 734
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page_client-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page.js", "JavaScript", 318, 0, 0, 0, 0, 0, 0, 0, 0, 179, 189, 686
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page_client-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page.js", "JavaScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 185, 195, 708
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page_client-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\edge-runtime-webpack.js", "JavaScript", 1061, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 1167
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\interception-route-rewrite-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-build-manifest.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-manifest.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-react-loadable-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware.js", "JavaScript", 703, 0, 0, 0, 0, 0, 0, 0, 0, 435, 427, 1565
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\pages-manifest.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\static\webpack\633457081244afec._.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@babel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@clerk.js", "JavaScript", 818, 0, 0, 0, 0, 0, 0, 0, 0, 536, 587, 1941
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@floating-ui.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@kurkle.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@protobuf-ts.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 110, 103, 355
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@radix-ui.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 65, 58, 205
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@stream-io.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 65
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@swc.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 75
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\aria-hidden.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\asynckit.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 38, 31, 114
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\axios.js", "JavaScript", 288, 0, 0, 0, 0, 0, 0, 0, 0, 179, 172, 639
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\base64-js.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\buffer-equal-constant-time.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\chart.js.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
