Date : 2024-10-18 16:41:44
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 59 files,  2429 codes, 1546 comments, 1447 blanks, all 5422 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         36 |      2,448 |      1,522 |      1,447 |      5,417 |
| JSON           |         16 |         13 |          0 |          0 |         13 |
| TypeScript     |          4 |          0 |          0 |          0 |          0 |
| CSS            |          1 |         -3 |          0 |          0 |         -3 |
| TypeScript JSX |          2 |        -29 |         24 |          0 |         -5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         59 |      2,429 |      1,546 |      1,447 |      5,422 |
| .next                                                                                                                     |         57 |      2,458 |      1,522 |      1,447 |      5,427 |
| .next\server                                                                                                              |          9 |        446 |        238 |        264 |        948 |
| .next\server (Files)                                                                                                      |          1 |          8 |          0 |          0 |          8 |
| .next\server\app                                                                                                          |          8 |        438 |        238 |        264 |        940 |
| .next\server\app\(auth)                                                                                                   |          4 |       -220 |       -132 |       -126 |       -478 |
| .next\server\app\(auth)\sign-in                                                                                           |          2 |       -110 |        -66 |        -63 |       -239 |
| .next\server\app\(auth)\sign-in\[[...sigin-in]]                                                                           |          2 |       -110 |        -66 |        -63 |       -239 |
| .next\server\app\(auth)\sign-up                                                                                           |          2 |       -110 |        -66 |        -63 |       -239 |
| .next\server\app\(auth)\sign-up\[[...sign-up]]                                                                            |          2 |       -110 |        -66 |        -63 |       -239 |
| .next\server\app\(root)                                                                                                   |          4 |        658 |        370 |        390 |      1,418 |
| .next\server\app\(root)\(home)                                                                                            |          4 |        658 |        370 |        390 |      1,418 |
| .next\server\app\(root)\(home)\previous                                                                                   |          2 |        329 |        185 |        195 |        709 |
| .next\server\app\(root)\(home)\upcoming                                                                                   |          2 |        329 |        185 |        195 |        709 |
| .next\static                                                                                                              |         44 |      2,012 |      1,284 |      1,183 |      4,479 |
| .next\static\chunks                                                                                                       |          5 |      1,923 |      1,173 |      1,159 |      4,255 |
| .next\static\chunks\app                                                                                                   |          5 |      1,923 |      1,173 |      1,159 |      4,255 |
| .next\static\chunks\app\(auth)                                                                                            |          2 |       -838 |       -502 |       -504 |     -1,844 |
| .next\static\chunks\app\(auth)\sign-in                                                                                    |          1 |       -419 |       -251 |       -252 |       -922 |
| .next\static\chunks\app\(auth)\sign-in\[[...sigin-in]]                                                                    |          1 |       -419 |       -251 |       -252 |       -922 |
| .next\static\chunks\app\(auth)\sign-up                                                                                    |          1 |       -419 |       -251 |       -252 |       -922 |
| .next\static\chunks\app\(auth)\sign-up\[[...sign-up]]                                                                     |          1 |       -419 |       -251 |       -252 |       -922 |
| .next\static\chunks\app\(root)                                                                                            |          3 |      2,761 |      1,675 |      1,663 |      6,099 |
| .next\static\chunks\app\(root)\(home)                                                                                     |          3 |      2,761 |      1,675 |      1,663 |      6,099 |
