"filename", "language", "JSON with Comments", "Properties", "JavaScript", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.env", "Properties", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\dev\Meeting-App\HaMeetz\.eslintrc.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\app-build-manifest.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 45
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\build-manifest.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page.js", "JavaScript", 0, 0, 338, 0, 0, 0, 0, 0, 0, 194, 202, 734
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page.js", "JavaScript", 0, 0, 318, 0, 0, 0, 0, 0, 0, 179, 189, 686
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\previous\page.js", "JavaScript", 0, 0, 328, 0, 0, 0, 0, 0, 0, 185, 195, 708
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\previous\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page.js", "JavaScript", 0, 0, 328, 0, 0, 0, 0, 0, 0, 185, 195, 708
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\upcoming\page.js", "JavaScript", 0, 0, 328, 0, 0, 0, 0, 0, 0, 185, 195, 708
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\upcoming\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\edge-runtime-webpack.js", "JavaScript", 0, 0, 1061, 0, 0, 0, 0, 0, 0, 106, 0, 1167
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\interception-route-rewrite-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-build-manifest.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-manifest.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 29
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-react-loadable-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware.js", "JavaScript", 0, 0, 703, 0, 0, 0, 0, 0, 0, 435, 427, 1565
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
