Date : 2024-10-18 16:41:44
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 228 files,  36772 codes, 13155 comments, 12873 blanks, all 62800 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        126 |     22,138 |     12,865 |     11,959 |     46,962 |
| JSON               |         25 |      6,924 |          0 |          2 |      6,926 |
| CSS                |          2 |      4,976 |        169 |        393 |      5,538 |
| TypeScript JSX     |         35 |      1,847 |         31 |        278 |      2,156 |
| TypeScript         |         17 |        775 |         89 |        218 |      1,082 |
| XML                |         19 |         69 |          1 |         19 |         89 |
| JSON with Comments |          2 |         34 |          0 |          2 |         36 |
| Properties         |          1 |          6 |          0 |          2 |          8 |
| Markdown           |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        228 |     36,772 |     13,155 |     12,873 |     62,800 |
| . (Files)                                                                                                                 |         12 |      6,894 |          5 |         18 |      6,917 |
| .next                                                                                                                     |        155 |     27,597 |     13,109 |     12,471 |     53,177 |
| .next (Files)                                                                                                             |          4 |         66 |          0 |          0 |         66 |
| .next\server                                                                                                              |         99 |      9,241 |      5,578 |      5,001 |     19,820 |
| .next\server (Files)                                                                                                      |         13 |      2,065 |        581 |        428 |      3,074 |
| .next\server\app                                                                                                          |         10 |      1,645 |        928 |        976 |      3,549 |
| .next\server\app\(root)                                                                                                   |         10 |      1,645 |        928 |        976 |      3,549 |
| .next\server\app\(root)\(home)                                                                                            |         10 |      1,645 |        928 |        976 |      3,549 |
| .next\server\app\(root)\(home) (Files)                                                                                    |          2 |        339 |        194 |        202 |        735 |
| .next\server\app\(root)\(home)\personal-room                                                                              |          2 |        319 |        179 |        189 |        687 |
| .next\server\app\(root)\(home)\previous                                                                                   |          2 |        329 |        185 |        195 |        709 |
| .next\server\app\(root)\(home)\recordings                                                                                 |          2 |        329 |        185 |        195 |        709 |
| .next\server\app\(root)\(home)\upcoming                                                                                   |          2 |        329 |        185 |        195 |        709 |
| .next\server\static                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| .next\server\static\webpack                                                                                               |          1 |          1 |          0 |          0 |          1 |
| .next\server\vendor-chunks                                                                                                |         75 |      5,530 |      4,069 |      3,597 |     13,196 |
| .next\static                                                                                                              |         43 |     17,873 |      7,451 |      7,326 |     32,650 |
| .next\static\chunks                                                                                                       |         12 |     12,832 |      7,119 |      6,927 |     26,878 |
| .next\static\chunks (Files)                                                                                               |          4 |      2,265 |        716 |        579 |      3,560 |
| .next\static\chunks\app                                                                                                   |          8 |     10,567 |      6,403 |      6,348 |     23,318 |
| .next\static\chunks\app (Files)                                                                                           |          1 |        592 |        356 |        357 |      1,305 |
| .next\static\chunks\app\(root)                                                                                            |          7 |      9,975 |      6,047 |      5,991 |     22,013 |
| .next\static\chunks\app\(root) (Files)                                                                                    |          1 |      1,375 |        839 |        812 |      3,026 |
| .next\static\chunks\app\(root)\(home)                                                                                     |          6 |      8,600 |      5,208 |      5,179 |     18,987 |
| .next\static\chunks\app\(root)\(home) (Files)                                                                             |          2 |      3,157 |      1,906 |      1,901 |      6,964 |
| .next\static\chunks\app\(root)\(home)\personal-room                                                                       |          1 |      1,294 |        785 |        779 |      2,858 |
| .next\static\chunks\app\(root)\(home)\previous                                                                            |          1 |      1,383 |        839 |        833 |      3,055 |
| .next\static\chunks\app\(root)\(home)\recordings                                                                          |          1 |      1,383 |        839 |        833 |      3,055 |
| .next\static\chunks\app\(root)\(home)\upcoming                                                                            |          1 |      1,383 |        839 |        833 |      3,055 |
| .next\static\css                                                                                                          |          1 |      4,889 |        165 |        371 |      5,425 |
| .next\static\css\app                                                                                                      |          1 |      4,889 |        165 |        371 |      5,425 |
| .next\static\development                                                                                                  |          2 |          2 |          0 |          0 |          2 |
| .next\static\webpack                                                                                                      |         28 |        150 |        167 |         28 |        345 |
| .next\static\webpack (Files)                                                                                              |         21 |        101 |         90 |          0 |        191 |
| .next\static\webpack\app                                                                                                  |          7 |         49 |         77 |         28 |        154 |
| .next\static\webpack\app (Files)                                                                                          |          6 |         42 |         66 |         24 |        132 |
| .next\static\webpack\app\(root)                                                                                           |          1 |          7 |         11 |          4 |         22 |
| .next\static\webpack\app\(root)\(home)                                                                                    |          1 |          7 |         11 |          4 |         22 |
| .next\static\webpack\app\(root)\(home)\previous                                                                           |          1 |          7 |         11 |          4 |         22 |
| .next\types                                                                                                               |          9 |        417 |         80 |        144 |        641 |
| .next\types (Files)                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| .next\types\app                                                                                                           |          8 |        416 |         80 |        144 |        640 |
| .next\types\app (Files)                                                                                                   |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)                                                                                                    |          7 |        364 |         70 |        126 |        560 |
| .next\types\app\(root) (Files)                                                                                            |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)                                                                                             |          6 |        312 |         60 |        108 |        480 |
| .next\types\app\(root)\(home) (Files)                                                                                     |          2 |        104 |         20 |         36 |        160 |
| .next\types\app\(root)\(home)\personal-room                                                                               |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)\previous                                                                                    |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)\recordings                                                                                  |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)\upcoming                                                                                    |          1 |         52 |         10 |         18 |         80 |
| actions                                                                                                                   |          1 |         16 |          0 |          9 |         25 |
| app                                                                                                                       |         12 |        340 |          5 |         85 |        430 |
| app (Files)                                                                                                               |          2 |        131 |          4 |         27 |        162 |
| app\(auth)                                                                                                                |          2 |         16 |          0 |          4 |         20 |
| app\(auth)\sign-in                                                                                                        |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-in\[[...sigin-in]]                                                                                        |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-up                                                                                                        |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-up\[[...sign-up]]                                                                                         |          1 |          8 |          0 |          2 |         10 |
| app\(root)                                                                                                                |          8 |        193 |          1 |         54 |        248 |
| app\(root) (Files)                                                                                                        |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)                                                                                                         |          6 |        145 |          0 |         39 |        184 |
| app\(root)\(home) (Files)                                                                                                 |          2 |         42 |          0 |         13 |         55 |
| app\(root)\(home)\personal-room                                                                                           |          1 |         73 |          0 |         14 |         87 |
| app\(root)\(home)\previous                                                                                                |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)\recordings                                                                                              |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)\upcoming                                                                                                |          1 |         10 |          0 |          4 |         14 |
| app\(root)\meeting                                                                                                        |          1 |         38 |          1 |         11 |         50 |
| app\(root)\meeting\[id]                                                                                                   |          1 |         38 |          1 |         11 |         50 |
| components                                                                                                                |         24 |      1,726 |         33 |        236 |      1,995 |
| components (Files)                                                                                                        |         13 |        805 |         30 |        105 |        940 |
| components\ui                                                                                                             |         11 |        921 |          3 |        131 |      1,055 |
| constants                                                                                                                 |          1 |         34 |          0 |          3 |         37 |
| hooks                                                                                                                     |          2 |         63 |          2 |         19 |         84 |
| lib                                                                                                                       |          1 |          5 |          0 |          2 |          7 |
| providers                                                                                                                 |          1 |         28 |          0 |         11 |         39 |
| public                                                                                                                    |         19 |         69 |          1 |         19 |         89 |
| public\icons                                                                                                              |         19 |         69 |          1 |         19 |         89 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\dev\Meeting-App\HaMeetz\.env                                                                                | Properties         |          6 |          0 |          2 |          8 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.eslintrc.json                                                                      | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\app-build-manifest.json                                                       | JSON               |         45 |          0 |          0 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\build-manifest.json                                                           | JSON               |         19 |          0 |          0 |         19 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\package.json                                                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\react-loadable-manifest.json                                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app-paths-manifest.json                                                | JSON               |          7 |          0 |          0 |          7 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page.js                                              | JavaScript         |        338 |        194 |        202 |        734 |
